+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /images/buildings4.svg                               | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 4582.000   | 68730.000   | 1462.340   |
| 6     | 0   | 6    | 0   | 0   | 0   | GET    | /assets/route-CJUF4eR6.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 1576.000   | 1576.000   | 9456.000    | 1576.000   |
| 20    | 0   | 20   | 0   | 0   | 0   | GET    | /assets/form-frame-AzQ8YT1a.js                       | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 824.000    | 824.000    | 16480.000   | 824.000    |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/colors-DB9lnfSt.js                           | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 5678.000   | 113560.000  | 853.835    |
| 101   | 0   | 20   | 81  | 0   | 0   | GET    | /assets/button-CS9qg6Tt.js                           | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 843.000    | 843.000    | 16860.000   | 166.931    |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /images/buildings2.svg                               | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 23825.000  | 357375.000  | 7603.723   |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/isuride-CWZY8A89.js                          | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 834.000    | 16680.000   | 125.414    |
| 15    | 0   | 15   | 0   | 0   | 0   | GET    | /assets/date-input-Br46mw6i.js                       | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 425.000    | 425.000    | 6375.000    | 425.000    |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /assets/api-base-url-Bd0x18OB.js                     | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 26.000     | 390.000     | 8.298      |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /assets/route-B_Zm-GyU.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 2687.000   | 40305.000   | 857.553    |
